valuation_id,loan_id,property_address,property_type,appraised_value,assessed_value,square_footage,year_built,bedrooms,bathrooms,appraisal_date,appraiser_name,appraisal_company
VAL000018,LOAN0000082,8697 Cedar Ave,Multi-Family,1439272.52,1067931.3,4563,1959,4,2.9,2023-08-07,Richard Young,Accurate Appraisals Inc
VAL000019,LOAN0000088,8167 Main Ave,Single Family,2894599.35,2428025.43,4727,1977,4,1.7,2024-02-29,Deborah Taylor,Metro Valuations
VAL000020,LOAN0000091,1648 Cedar Blvd,Single Family,47469.16,41125.49,1323,2008,3,2.7,2023-11-23,Amanda Mitchell,Metro Valuations
VAL000021,LOAN0000093,3024 Pine Ave,Multi-Family,1948732.41,1460574.25,3940,1997,6,2.0,2024-08-31,Andrew Ramirez,Metro Valuations
VAL000022,LOAN0000097,4836 Main St,Townhouse,2101806.99,1447628.13,2112,1955,4,3.3,2023-06-01,Richard Torres,Premier Appraisers
VAL000023,LOAN0000104,5813 Oak Blvd,Commercial,395267.29,328520.76,3945,1977,1,2.5,2024-10-26,Steven Garcia,Accurate Appraisals Inc
VAL000024,LOAN0000111,390 Cedar St,Townhouse,588281.91,501833.05,1487,2001,4,1.7,2023-10-26,Linda Hall,Quality Assessment LLC
VAL000025,LOAN0000112,3981 Main Blvd,Commercial,2510086.71,1684454.59,3907,2001,6,3.0,2023-09-03,James Perez,Premier Appraisers
VAL000026,LOAN0000115,3825 Oak Blvd,Commercial,3108377.56,2340447.05,4265,1987,5,1.6,2024-10-13,John Martinez,National Appraisal Co
VAL000027,LOAN0000119,6849 Maple Ave,Townhouse,66326.02,50053.17,1535,2011,6,1.5,2024-01-29,Michael Rodriguez,Accurate Appraisals Inc
VAL000028,LOAN0000124,7311 Cedar St,Townhouse,1281128.24,883254.52,4400,2013,5,3.8,2024-04-01,William Wilson,Metro Valuations
VAL000029,LOAN0000126,3789 Oak Blvd,Multi-Family,219489.3,167378.59,3832,1950,3,3.9,2023-01-15,Carol Davis,National Appraisal Co
VAL000030,LOAN0000132,2299 Cedar Ave,Condo,1738549.63,1413871.14,1550,2023,1,3.5,2023-10-18,Sandra Gonzalez,Accurate Appraisals Inc
VAL000031,LOAN0000135,6685 Oak Ave,Single Family,92176.05,79511.24,3897,2005,6,3.9,2023-10-21,David Taylor,Metro Valuations
VAL000032,LOAN0000138,2966 Main Blvd,Townhouse,36772.15,25278.62,1327,1982,4,2.3,2024-06-20,Kevin Clark,National Appraisal Co
VAL000033,LOAN0000143,2894 Maple Ave,Commercial,1519905.78,1151150.32,2332,2021,5,3.2,2024-03-05,Lisa Harris,Quality Assessment LLC
VAL000034,LOAN0000149,7405 Pine Blvd,Multi-Family,1884077.9,1480956.52,2235,2004,3,3.4,2023-04-30,Matthew King,Metro Valuations
VAL000035,LOAN0000150,6841 Pine Blvd,Multi-Family,98575.44,79943.6,2176,1970,2,2.6,2023-03-04,Carol Robinson,Accurate Appraisals Inc
VAL000036,LOAN0000152,3937 Maple Ave,Condo,600030.38,521522.53,3437,2012,3,1.4,2024-04-07,Michael Martinez,Quality Assessment LLC
VAL000037,LOAN0000153,3178 Cedar St,Townhouse,1317705.9,994420.34,2388,1979,6,4.0,2024-03-06,Donna Garcia,Metro Valuations
VAL000038,LOAN0000154,3780 Cedar Blvd,Townhouse,1285820.17,1091295.08,1803,1978,4,3.8,2023-02-28,Rebecca Thompson,Accurate Appraisals Inc
VAL000039,LOAN0000167,7774 Cedar Ave,Multi-Family,1899345.18,1586921.38,915,1958,6,2.9,2023-05-20,Jason Nguyen,Accurate Appraisals Inc
VAL000040,LOAN0000168,7367 Oak Blvd,Condo,602231.43,472787.18,4983,2001,6,1.9,2023-09-04,James Lee,National Appraisal Co
VAL000041,LOAN0000169,541 Oak Ave,Townhouse,7996.26,5718.1,3540,1964,6,3.4,2023-03-14,Susan Gonzalez,Quality Assessment LLC
VAL000042,LOAN0000172,5763 Oak Blvd,Townhouse,88385.27,73010.3,3219,1973,4,1.9,2024-07-03,Donna Hall,Metro Valuations
VAL000043,LOAN0000176,6509 Cedar Blvd,Commercial,2445407.61,2026656.92,3221,1962,4,1.4,2024-10-30,Jennifer Anderson,Metro Valuations
VAL000044,LOAN0000183,1669 Pine Blvd,Townhouse,599639.29,457322.28,2964,1995,3,3.9,2023-09-15,Lisa King,Metro Valuations
VAL000045,LOAN0000187,4733 Maple Ave,Condo,67559.59,47698.48,2145,2012,2,2.7,2023-07-16,Kenneth Mitchell,National Appraisal Co
VAL000046,LOAN0000191,6582 Oak Blvd,Single Family,599429.33,509450.8,2076,1954,1,2.7,2024-10-23,Jennifer King,Premier Appraisers
VAL000047,LOAN0000192,8694 Main St,Condo,69030.66,52167.82,4376,1968,4,3.2,2023-10-08,William Young,Metro Valuations
VAL000048,LOAN0000194,9932 Cedar St,Townhouse,47432.84,38182.57,1352,2021,1,3.5,2023-07-30,Donna Sanchez,National Appraisal Co
VAL000049,LOAN0000204,4875 Oak St,Townhouse,2471280.16,2120525.65,2759,1972,6,2.3,2024-04-18,Kenneth Jones,Metro Valuations
VAL000050,LOAN0000206,4282 Cedar Ave,Single Family,2565722.87,1931458.15,4515,2010,4,4.0,2024-11-27,Susan Taylor,Quality Assessment LLC
VAL000051,LOAN0000207,241 Cedar Blvd,Condo,1051173.54,931020.59,2680,1964,3,2.2,2023-02-17,William Hill,Premier Appraisers
VAL000052,LOAN0000212,8435 Main Ave,Condo,1743826.87,1210318.06,2509,1991,3,3.6,2024-07-09,Jason Williams,Metro Valuations
VAL000053,LOAN0000213,3654 Maple St,Condo,2955143.5,2396954.74,1735,2018,5,2.8,2024-08-15,Barbara Nguyen,National Appraisal Co
VAL000054,LOAN0000214,5229 Pine St,Commercial,1693150.34,1398169.11,2160,1957,6,2.7,2024-08-19,Steven Allen,National Appraisal Co
VAL000055,LOAN0000216,6732 Cedar Blvd,Townhouse,1057909.82,876166.0,2409,2001,1,1.6,2023-11-12,Melissa Adams,Metro Valuations
VAL000056,LOAN0000219,6303 Pine St,Multi-Family,17954.2,11939.52,2110,2005,2,3.5,2023-05-07,Elizabeth Young,Accurate Appraisals Inc
VAL000057,LOAN0000224,5555 Pine Blvd,Multi-Family,740974.15,636954.79,2038,1989,2,2.1,2024-09-01,Emily Campbell,Metro Valuations
VAL000058,LOAN0000234,6736 Maple Ave,Single Family,2355066.86,2144744.28,1578,1959,1,1.9,2024-11-30,Lisa Flores,Metro Valuations
VAL000059,LOAN0000235,8431 Main St,Single Family,124815.03,100348.27,3427,1991,6,3.8,2023-05-12,Amanda Johnson,Quality Assessment LLC
VAL000060,LOAN0000237,342 Cedar Ave,Single Family,66933.71,47407.82,3570,2015,1,1.2,2023-01-21,Patricia Ramirez,Metro Valuations
VAL000061,LOAN0000240,727 Cedar St,Townhouse,1918347.37,1364860.08,2933,1983,4,3.6,2024-01-04,Donald Moore,Metro Valuations
VAL000062,LOAN0000241,1050 Cedar St,Single Family,541111.78,460554.94,1226,2013,3,1.0,2023-02-28,Steven Thompson,Premier Appraisers
VAL000063,LOAN0000242,7386 Pine Ave,Single Family,85271.28,65150.97,2535,1983,5,3.9,2024-03-08,Kimberly Allen,Accurate Appraisals Inc
VAL000064,LOAN0000244,9515 Cedar St,Commercial,1212731.43,1070278.78,3210,2023,2,3.9,2024-04-26,Susan Perez,Metro Valuations
VAL000065,LOAN0000250,8820 Maple Ave,Commercial,2260968.95,1689605.92,3694,2008,5,2.5,2023-10-26,Emily Green,Metro Valuations
VAL000066,LOAN0000253,4394 Cedar Blvd,Commercial,1860325.55,1381956.72,4281,1964,4,3.1,2024-07-06,Sandra Nelson,Metro Valuations
VAL000067,LOAN0000257,9605 Oak Ave,Townhouse,21056.34,17692.39,1209,1982,1,1.2,2023-12-23,Jessica Walker,Accurate Appraisals Inc
VAL000068,LOAN0000262,6726 Cedar Blvd,Single Family,1560092.6,1159189.24,1358,1995,4,1.4,2023-10-09,Patricia Allen,Quality Assessment LLC
VAL000069,LOAN0000272,4586 Maple Ave,Single Family,24975.97,20253.78,4622,2011,6,1.7,2023-05-12,William King,National Appraisal Co
VAL000070,LOAN0000273,7603 Main Ave,Multi-Family,1512299.8,1377880.7,2345,1974,4,2.7,2023-09-09,Matthew Nguyen,Accurate Appraisals Inc
VAL000071,LOAN0000274,3986 Main St,Condo,2455738.55,1917982.56,1077,1964,5,2.3,2023-02-09,Donna Adams,Accurate Appraisals Inc
VAL000072,LOAN0000276,2767 Main Ave,Commercial,2529338.49,1907372.52,2435,1985,4,2.4,2023-10-31,Linda White,National Appraisal Co
VAL000073,LOAN0000280,9158 Cedar Ave,Multi-Family,488916.42,405235.32,2632,1988,4,1.1,2023-09-15,James Campbell,Premier Appraisers
VAL000074,LOAN0000286,4854 Cedar Ave,Commercial,319120.0,231566.55,4806,1957,2,3.2,2023-05-15,Steven Allen,Quality Assessment LLC
VAL000075,LOAN0000288,9002 Main Blvd,Condo,78342.02,64152.66,2231,1991,1,1.2,2024-01-22,Michelle Williams,Premier Appraisers
VAL000076,LOAN0000289,870 Cedar St,Condo,79519.79,67729.68,1617,1965,2,2.5,2024-08-21,Elizabeth Wright,Metro Valuations
VAL000077,LOAN0000291,4587 Maple Ave,Multi-Family,36356.61,25068.1,2474,1993,6,1.5,2023-02-21,Lisa Davis,Quality Assessment LLC
VAL000078,LOAN0000293,3608 Main St,Townhouse,1971333.01,1502463.09,2217,1976,6,2.0,2024-10-10,Jennifer Perez,National Appraisal Co
VAL000079,LOAN0000294,2846 Cedar St,Commercial,141153.19,100048.98,1041,1998,3,3.7,2023-11-24,Mary Green,Quality Assessment LLC
VAL000080,LOAN0000296,3842 Oak St,Condo,1333913.43,1080955.33,2639,1971,6,1.6,2024-04-22,Steven Robinson,National Appraisal Co
VAL000081,LOAN0000300,2139 Cedar St,Townhouse,740012.14,570704.91,3206,1956,3,3.9,2024-05-17,Stephanie Williams,Accurate Appraisals Inc
VAL000082,LOAN0000301,6601 Pine Ave,Single Family,1436213.12,968158.38,1154,1969,3,2.9,2024-01-27,Ashley Johnson,Quality Assessment LLC
VAL000083,LOAN0000306,4056 Cedar St,Commercial,117724.01,76494.06,4065,1969,5,3.5,2024-06-15,Charles Torres,Premier Appraisers
VAL000084,LOAN0000312,2548 Oak St,Townhouse,2676023.8,2333218.76,1508,1991,2,3.0,2024-05-28,John Anderson,National Appraisal Co
VAL000085,LOAN0000314,9378 Cedar Blvd,Condo,647795.38,458514.57,4283,2012,1,3.5,2023-04-28,Karen Campbell,Quality Assessment LLC
VAL000086,LOAN0000318,3418 Cedar St,Condo,632486.63,477947.88,4147,1997,6,1.8,2024-12-13,Dorothy Flores,Premier Appraisers
VAL000087,LOAN0000322,4778 Cedar St,Condo,107966.23,77657.11,3354,1964,1,1.4,2024-01-24,Kevin Nelson,National Appraisal Co
VAL000088,LOAN0000328,7457 Oak Blvd,Townhouse,580326.16,534681.81,3146,1975,5,1.9,2024-06-28,James Garcia,National Appraisal Co
VAL000089,LOAN0000332,8925 Pine St,Single Family,1816359.72,1185327.39,4181,1967,3,3.9,2023-12-01,James White,National Appraisal Co
VAL000090,LOAN0000333,2751 Cedar St,Condo,2045615.77,1644527.78,3103,1961,6,1.2,2024-02-06,Lisa Lopez,Premier Appraisers
VAL000091,LOAN0000334,3721 Main Ave,Commercial,28352.05,24751.9,2677,2007,1,3.8,2023-04-03,Nancy Robinson,Metro Valuations
VAL000092,LOAN0000341,1986 Maple St,Townhouse,103921.22,71862.35,3024,1992,3,1.4,2023-06-09,Nancy Wilson,Metro Valuations
VAL000093,LOAN0000353,7956 Maple Ave,Condo,155537.36,119858.31,4126,2021,2,3.8,2023-02-07,Mary Nelson,Accurate Appraisals Inc
VAL000094,LOAN0000355,8077 Cedar Ave,Multi-Family,117843.86,95079.38,3255,1973,2,2.3,2024-12-04,Jason Thomas,National Appraisal Co
VAL000095,LOAN0000356,1098 Cedar Ave,Townhouse,712609.44,481456.54,3561,1973,3,2.6,2023-08-11,James Lopez,Accurate Appraisals Inc
VAL000096,LOAN0000358,3552 Maple Ave,Multi-Family,2599572.18,1833699.91,4946,1998,6,1.3,2023-04-15,Patricia Lopez,Quality Assessment LLC
VAL000097,LOAN0000362,6669 Pine Blvd,Condo,1244622.47,931247.32,3138,2014,1,3.4,2023-05-17,Ronald Williams,Premier Appraisers
VAL000098,LOAN0000364,189 Main Ave,Condo,1606346.45,1286066.14,3724,1950,1,3.7,2024-08-13,Richard Green,Quality Assessment LLC
VAL000099,LOAN0000367,351 Maple Ave,Commercial,436065.48,326157.1,3285,1983,6,2.1,2023-11-20,Sharon White,Quality Assessment LLC
VAL000100,LOAN0000370,6817 Pine Blvd,Condo,643190.89,528988.59,4638,2002,3,3.6,2023-06-20,Karen Miller,Premier Appraisers
VAL000101,LOAN0000373,2041 Cedar Blvd,Townhouse,18735.08,16582.22,973,1994,3,1.6,2024-03-21,Stephanie Allen,Premier Appraisers
VAL000102,LOAN0000374,9013 Maple Ave,Townhouse,21921.47,16464.8,3785,2018,1,2.3,2023-07-19,Kenneth Hernandez,Accurate Appraisals Inc
VAL000103,LOAN0000377,2436 Pine Blvd,Condo,164720.31,130585.47,1892,2009,6,2.0,2024-10-26,Andrew Rodriguez,National Appraisal Co
VAL000104,LOAN0000378,6229 Oak St,Condo,1283942.25,1044628.53,1421,1982,4,1.6,2023-12-30,Kenneth Smith,Premier Appraisers
VAL000105,LOAN0000379,9537 Cedar Ave,Multi-Family,1257877.53,829277.94,4858,1970,1,1.7,2024-09-16,Anthony Rivera,Premier Appraisers
VAL000106,LOAN0000380,7133 Main Ave,Multi-Family,43983.18,35098.54,2606,2011,6,4.0,2024-12-20,William Baker,National Appraisal Co
VAL000107,LOAN0000381,9431 Main Ave,Townhouse,126778.91,104426.56,1758,1966,1,3.3,2023-08-29,Margaret Lopez,Metro Valuations
VAL000108,LOAN0000385,2177 Pine Ave,Townhouse,42883.75,34822.66,4622,1984,6,2.0,2024-05-26,Christopher Rivera,Quality Assessment LLC
VAL000109,LOAN0000387,249 Maple Ave,Single Family,63784.4,47269.32,2406,1977,3,2.7,2023-11-06,Kevin Thomas,National Appraisal Co
VAL000110,LOAN0000388,3463 Maple St,Single Family,20191.55,16702.05,4680,2008,6,3.8,2023-09-09,Margaret Robinson,Quality Assessment LLC
VAL000111,LOAN0000393,498 Main Ave,Condo,88057.15,60655.14,4793,1952,5,2.2,2024-04-02,Thomas Hall,National Appraisal Co
VAL000112,LOAN0000405,1467 Oak Ave,Single Family,3264478.71,2264362.85,4343,1972,6,3.6,2024-03-22,Sharon Smith,Accurate Appraisals Inc
VAL000113,LOAN0000406,5056 Pine Ave,Condo,87754.34,64178.1,2917,2016,4,3.0,2023-03-19,Edward Lewis,National Appraisal Co
VAL000114,LOAN0000407,327 Main Blvd,Townhouse,3359323.12,2367226.44,2670,1991,2,2.5,2024-02-10,Joseph Wright,Premier Appraisers
VAL000115,LOAN0000409,1996 Maple St,Townhouse,2020484.66,1499998.52,1163,2014,3,3.4,2024-12-30,Robert Sanchez,National Appraisal Co
VAL000116,LOAN0000411,1770 Oak Blvd,Commercial,401175.82,332860.5,1272,2009,2,1.3,2023-04-25,Nancy Harris,Accurate Appraisals Inc
VAL000117,LOAN0000414,2178 Maple Ave,Single Family,1701269.5,1393101.81,4595,2002,5,1.4,2023-06-30,Joseph Flores,Premier Appraisers
VAL000118,LOAN0000417,9376 Pine Ave,Condo,47371.88,41594.6,4030,2021,5,2.7,2024-11-24,Jason King,Premier Appraisers
VAL000119,LOAN0000419,5164 Pine Blvd,Townhouse,81687.19,69528.34,3067,2006,2,1.1,2024-04-06,Donald Rodriguez,Premier Appraisers
VAL000120,LOAN0000420,915 Main Blvd,Single Family,1467710.54,1043654.26,2509,2022,4,2.8,2024-06-30,John Johnson,Premier Appraisers
VAL000121,LOAN0000422,6262 Maple Blvd,Single Family,1874687.94,1441809.05,1288,1967,6,3.7,2023-02-12,Elizabeth Wright,National Appraisal Co
VAL000122,LOAN0000425,7108 Pine St,Commercial,147716.67,100874.29,1950,1996,3,2.5,2024-04-10,Brian Jackson,Accurate Appraisals Inc
VAL000123,LOAN0000428,5509 Pine Blvd,Commercial,2327904.06,1678536.12,4294,2011,6,2.7,2023-05-29,Betty Ramirez,Quality Assessment LLC
VAL000124,LOAN0000432,2667 Maple St,Commercial,343478.26,314928.21,815,2000,4,3.8,2023-12-12,Paul Jackson,Accurate Appraisals Inc
VAL000125,LOAN0000434,9421 Main Blvd,Townhouse,124591.98,103246.73,924,1960,6,1.2,2023-11-04,James Flores,Metro Valuations
VAL000126,LOAN0000437,4617 Main Ave,Single Family,73018.38,58100.97,2935,1975,3,1.7,2024-09-20,Matthew Anderson,Premier Appraisers
VAL000127,LOAN0000438,8898 Oak St,Townhouse,1815355.67,1467197.21,1583,1969,6,4.0,2024-07-26,Melissa Nguyen,Quality Assessment LLC
VAL000128,LOAN0000441,4943 Oak Blvd,Townhouse,137991.09,110024.55,4117,1968,6,3.8,2024-11-10,Linda Scott,National Appraisal Co
VAL000129,LOAN0000445,1734 Cedar St,Single Family,1897419.52,1306433.51,4873,1964,2,3.2,2024-04-15,Amanda Green,Accurate Appraisals Inc
VAL000130,LOAN0000448,5492 Oak Blvd,Single Family,109791.49,79365.85,1135,1966,3,2.8,2023-05-31,Edward Baker,Premier Appraisers
VAL000131,LOAN0000450,4772 Pine Blvd,Multi-Family,513800.31,451778.34,4022,1989,1,2.1,2024-07-02,Kimberly Adams,Premier Appraisers
VAL000132,LOAN0000451,5349 Maple Ave,Single Family,24141.16,17784.72,3911,1979,2,3.7,2024-10-20,Brian Garcia,Premier Appraisers
VAL000133,LOAN0000455,5375 Cedar St,Single Family,73561.79,63714.3,882,2009,6,2.7,2023-06-18,John Scott,National Appraisal Co
VAL000134,LOAN0000456,2231 Pine Ave,Commercial,117716.18,95931.92,2593,1992,4,2.7,2024-10-28,Christopher Williams,Quality Assessment LLC
VAL000135,LOAN0000457,7250 Maple Ave,Multi-Family,1655905.52,1368109.52,3056,2023,5,2.6,2023-05-23,Linda Harris,Metro Valuations
VAL000136,LOAN0000462,9647 Main Blvd,Single Family,1746273.22,1566294.55,1246,1998,6,2.5,2024-11-04,Melissa King,Quality Assessment LLC
VAL000137,LOAN0000463,4202 Pine St,Single Family,91909.15,82100.86,4481,2019,5,3.7,2023-10-16,Carol Nelson,Metro Valuations
VAL000138,LOAN0000468,2427 Main Blvd,Townhouse,111341.9,77167.02,3231,2017,4,1.3,2023-12-19,Barbara Jones,Accurate Appraisals Inc
VAL000139,LOAN0000469,6596 Cedar St,Condo,95391.65,85621.1,2681,1954,2,3.0,2023-03-05,Jennifer Scott,Premier Appraisers
VAL000140,LOAN0000472,5984 Main Blvd,Single Family,709490.08,558155.26,3864,1978,3,1.3,2024-07-29,Michelle Martin,Metro Valuations
VAL000141,LOAN0000478,1529 Main St,Condo,1628880.93,1342004.26,1740,1982,4,1.7,2023-11-14,Kevin Lewis,National Appraisal Co
VAL000142,LOAN0000480,8801 Oak St,Multi-Family,1370329.06,1127766.22,4913,2008,2,1.6,2023-03-17,Charles Hernandez,Metro Valuations
VAL000143,LOAN0000483,8163 Main Ave,Condo,136303.93,100255.06,884,1990,6,2.5,2024-05-03,Sharon Ramirez,Quality Assessment LLC
VAL000144,LOAN0000487,9184 Maple Ave,Commercial,1036195.04,876268.23,2384,1959,1,1.6,2024-09-27,Christopher Wright,Accurate Appraisals Inc
VAL000145,LOAN0000488,4531 Oak Ave,Multi-Family,1177688.0,782206.5,1263,2016,5,2.9,2024-01-22,Anthony Lee,National Appraisal Co
VAL000146,LOAN0000491,9081 Oak Blvd,Condo,2256143.29,1955606.59,4852,1972,5,1.0,2023-02-20,Deborah Green,National Appraisal Co
VAL000147,LOAN0000492,6183 Pine St,Single Family,1416517.47,958559.13,3358,1985,2,2.6,2024-01-08,Anthony King,Metro Valuations
VAL000148,LOAN0000493,1539 Pine St,Commercial,1905069.85,1318270.27,4771,2018,5,2.6,2024-11-20,Sharon Campbell,Metro Valuations
VAL000149,LOAN0000495,1582 Pine Blvd,Commercial,152555.54,110198.97,2266,1982,1,2.3,2023-04-16,George Baker,Metro Valuations
VAL000150,LOAN0000497,9166 Main Ave,Commercial,215560.85,148595.29,4291,1959,2,1.4,2023-08-19,Carol Rivera,Accurate Appraisals Inc
VAL000151,LOAN0000498,7715 Main St,Condo,1984449.56,1423683.82,2563,1957,5,1.7,2024-04-14,Emily Rodriguez,Premier Appraisers
VAL000152,LOAN0000500,550 Main Blvd,Commercial,31977.24,24629.83,3418,1996,5,1.1,2023-02-05,Dorothy Flores,Premier Appraisers
VAL000153,LOAN0000507,3926 Main Blvd,Townhouse,101653.24,74092.21,1290,1965,1,2.8,2023-10-03,Dorothy Moore,Metro Valuations
VAL000154,LOAN0000513,6796 Oak Ave,Condo,33926.78,28159.39,2306,1981,2,2.5,2024-12-27,Mark Hall,Premier Appraisers
VAL000155,LOAN0000515,1282 Oak Blvd,Commercial,2309321.68,2030407.52,4159,1986,2,1.6,2023-10-18,Joseph Williams,Metro Valuations
VAL000156,LOAN0000518,2954 Cedar St,Condo,1160308.06,979334.26,3232,1986,3,3.0,2024-04-19,Matthew Hill,Accurate Appraisals Inc
VAL000157,LOAN0000519,7882 Main Ave,Townhouse,374815.04,254095.92,1454,1971,5,1.0,2023-11-08,Donna Hernandez,Accurate Appraisals Inc
VAL000158,LOAN0000520,9694 Cedar Ave,Townhouse,1879808.99,1349845.06,3815,1951,1,3.4,2023-04-18,Joseph Hall,National Appraisal Co
VAL000159,LOAN0000526,4537 Maple Blvd,Townhouse,1930099.4,1508950.16,2457,1999,2,1.1,2024-06-19,Brian Adams,Metro Valuations
VAL000160,LOAN0000527,9042 Cedar St,Commercial,529237.03,437111.15,3030,1998,5,3.2,2023-01-08,Jennifer Flores,Premier Appraisers
VAL000161,LOAN0000530,6496 Main Ave,Townhouse,106714.19,76771.5,3507,2021,5,3.2,2024-10-09,Betty Rodriguez,Accurate Appraisals Inc
VAL000162,LOAN0000536,3514 Oak St,Townhouse,1239096.21,1140618.54,954,1970,4,1.8,2024-02-02,Charles Wright,Metro Valuations
VAL000163,LOAN0000537,6329 Oak St,Single Family,914480.81,687066.91,3588,1969,6,2.3,2023-05-01,Jessica Martin,Quality Assessment LLC
VAL000164,LOAN0000538,604 Cedar St,Commercial,929027.37,856235.91,3516,1975,5,3.6,2023-01-16,Amanda Taylor,Accurate Appraisals Inc
VAL000165,LOAN0000541,1625 Oak Ave,Condo,2422719.14,2036992.55,1410,1962,1,2.0,2024-12-21,Carol Green,National Appraisal Co
VAL000166,LOAN0000545,1845 Oak St,Townhouse,1963696.88,1564420.69,811,1950,4,3.4,2023-04-25,Jason Taylor,Accurate Appraisals Inc
VAL000167,LOAN0000546,2144 Pine Blvd,Townhouse,2002514.85,1524378.71,3712,1964,4,1.9,2023-02-15,Richard Lopez,Premier Appraisers
VAL000168,LOAN0000548,8216 Maple St,Single Family,1603199.16,1140465.8,4779,1996,3,2.2,2024-08-02,Amanda Gonzalez,Quality Assessment LLC
VAL000169,LOAN0000558,8903 Oak Ave,Commercial,619694.5,417641.48,2929,1996,2,2.0,2024-12-21,Mark Martin,Metro Valuations
VAL000170,LOAN0000559,7463 Pine Blvd,Commercial,106261.94,98343.25,1356,1976,5,2.1,2024-04-29,Susan Moore,National Appraisal Co
VAL000171,LOAN0000560,3270 Maple Ave,Multi-Family,1554354.7,1118687.09,4835,1965,5,1.5,2023-09-19,Mark White,Premier Appraisers
VAL000172,LOAN0000561,2927 Cedar St,Commercial,10107.52,7772.99,2148,1994,5,3.6,2024-06-15,Kenneth Gonzalez,Metro Valuations
VAL000173,LOAN0000566,9897 Main Ave,Multi-Family,345365.39,268085.63,3538,1961,6,3.1,2024-05-19,Matthew Wilson,Metro Valuations
VAL000174,LOAN0000570,6631 Maple Blvd,Single Family,12523.83,9531.0,1437,1970,6,2.6,2024-05-23,Nancy Smith,Accurate Appraisals Inc
VAL000175,LOAN0000571,7023 Oak St,Condo,1494304.7,1209989.31,859,1992,4,2.7,2023-04-28,Linda Lee,Quality Assessment LLC
VAL000176,LOAN0000578,2803 Cedar Ave,Townhouse,1703054.47,1298666.19,4404,1994,6,3.4,2024-06-08,Andrew Davis,Metro Valuations
VAL000177,LOAN0000584,9355 Oak Ave,Single Family,55317.77,42543.97,3749,1974,3,3.3,2023-08-22,Amanda Jones,National Appraisal Co
VAL000178,LOAN0000587,8891 Oak St,Condo,745031.59,618497.33,3922,1965,3,3.2,2024-10-07,Christopher Baker,Premier Appraisers
VAL000179,LOAN0000588,9891 Cedar St,Townhouse,931238.04,695401.08,4857,1969,6,3.4,2024-01-24,Jessica Flores,Accurate Appraisals Inc
VAL000180,LOAN0000591,7323 Oak Ave,Townhouse,1625169.12,1205086.86,4550,1960,4,1.8,2023-10-26,Donald Hall,Premier Appraisers
VAL000181,LOAN0000593,8577 Main St,Single Family,86130.17,63335.95,4557,2023,5,2.4,2024-09-21,Margaret Anderson,Premier Appraisers
