payment_id,loan_id,payment_date,due_date,amount_due,amount_paid,principal_amount,interest_amount,payment_status,payment_method,days_past_due
PAY00000029,LOAN0008121,2024-01-07,2023-12-09,5035.0,5035.0,3021.0,2014.0,On-Time,Wire,0
PAY00000030,LOAN0006772,2023-03-20,2023-03-07,2368.35,2368.35,1421.01,947.34,On-Time,Online,0
PAY00000031,LOAN0001776,2024-08-11,2024-07-22,34590.76,52233.39,31340.03,20893.36,Extra,Check,0
PAY00000032,LOAN0000670,2024-05-27,2024-05-25,6322.21,6322.21,3793.33,2528.88,On-Time,ACH,0
PAY00000033,LOAN0008319,2023-04-25,2023-04-10,6648.48,6648.48,3989.09,2659.39,On-Time,Online,0
PAY00000034,LOAN0007851,2023-03-03,2023-02-27,643.49,643.49,386.09,257.4,On-Time,Wire,0
PAY00000035,LOAN0001824,2024-01-28,2024-01-27,6466.52,6466.52,3879.91,2586.61,Late,ACH,28
PAY00000036,LOAN0007410,2024-09-07,2024-08-15,609.81,702.51,421.51,281.0,Extra,ACH,0
PAY00000037,LOAN0003524,2024-04-19,2024-03-22,16554.95,16554.95,9932.97,6621.98,On-Time,Wire,0
PAY00000038,LOAN0009013,2024-11-27,2024-11-10,12142.11,12142.11,7285.27,4856.84,On-Time,Online,0
PAY00000039,LOAN0000944,2024-05-14,2024-05-07,335.32,335.32,201.19,134.13,On-Time,Online,0
PAY00000040,LOAN0003091,2024-12-08,2024-12-09,337.85,337.85,202.71,135.14,Late,Wire,14
PAY00000041,LOAN0008844,2024-09-11,2024-09-07,1195.62,1195.62,717.37,478.25,On-Time,ACH,0
PAY00000042,LOAN0002484,2023-03-30,2023-04-04,183.24,183.24,109.94,73.3,On-Time,Auto-Pay,0
PAY00000043,LOAN0009659,2023-01-25,2023-01-26,147.75,147.75,88.65,59.1,On-Time,Auto-Pay,0
PAY00000044,LOAN0007612,2024-12-31,2024-12-07,462.14,462.14,277.28,184.86,On-Time,Check,0
PAY00000045,LOAN0006414,2024-11-27,2024-11-20,6671.04,6671.04,4002.62,2668.42,Late,Online,22
PAY00000046,LOAN0007456,2024-11-03,2024-10-10,1953.57,1953.57,1172.14,781.43,Late,Auto-Pay,10
PAY00000047,LOAN0006320,2023-01-21,2022-12-26,164.97,164.97,98.98,65.99,On-Time,Online,0
PAY00000048,LOAN0004038,2024-01-15,2023-12-21,5725.03,5725.03,3435.02,2290.01,On-Time,Auto-Pay,0
PAY00000049,LOAN0005633,2023-11-09,2023-11-04,8745.98,8745.98,5247.59,3498.39,On-Time,Check,0
PAY00000050,LOAN0003400,2024-10-25,2024-10-12,11603.81,11603.81,6962.29,4641.52,On-Time,Wire,0
PAY00000051,LOAN0002200,2024-02-12,2024-01-21,23279.07,23279.07,13967.44,9311.63,On-Time,Check,0
PAY00000052,LOAN0005309,2023-10-26,2023-10-02,851.07,851.07,510.64,340.43,On-Time,Wire,0
PAY00000053,LOAN0006041,2023-12-30,2023-12-03,31911.58,31911.58,19146.95,12764.63,On-Time,Online,0
PAY00000054,LOAN0008775,2024-04-11,2024-04-08,685.73,685.73,411.44,274.29,On-Time,Online,0
PAY00000055,LOAN0009818,2024-05-04,2024-04-25,418.55,418.55,251.13,167.42,On-Time,Check,0
PAY00000056,LOAN0005195,2023-12-09,2023-11-11,468.6,468.6,281.16,187.44,On-Time,Auto-Pay,0
PAY00000057,LOAN0009364,2024-04-03,2024-04-05,13063.0,13063.0,7837.8,5225.2,On-Time,Check,0
PAY00000058,LOAN0008896,2023-12-27,2023-12-24,580.0,580.0,348.0,232.0,Late,Auto-Pay,0
PAY00000059,LOAN0008844,2023-05-11,2023-04-21,1195.62,1195.62,717.37,478.25,On-Time,ACH,0
PAY00000060,LOAN0001591,2023-10-03,2023-09-16,699.99,699.99,419.99,280.0,On-Time,Wire,0
PAY00000061,LOAN0009004,2023-11-25,2023-10-26,943.98,943.98,566.39,377.59,Late,Check,23
PAY00000062,LOAN0009874,2024-10-22,2024-10-07,941.3,941.3,564.78,376.52,On-Time,Online,0
PAY00000063,LOAN0009874,2023-02-28,2023-01-30,941.3,941.3,564.78,376.52,On-Time,Wire,0
PAY00000064,LOAN0003539,2024-08-02,2024-07-09,23385.25,23385.25,14031.15,9354.1,On-Time,Online,0
PAY00000065,LOAN0008172,2023-10-29,2023-10-16,2411.5,2411.5,1446.9,964.6,On-Time,Wire,0
PAY00000066,LOAN0007073,2024-06-29,2024-06-11,11452.46,11452.46,6871.48,4580.98,On-Time,Online,0
PAY00000067,LOAN0004753,2023-05-19,2023-05-09,34330.18,34330.18,20598.11,13732.07,On-Time,Wire,0
PAY00000068,LOAN0002572,2023-12-10,2023-12-05,14707.02,0,0.0,0.0,Missed,Wire,0
PAY00000069,LOAN0002350,2023-05-10,2023-05-06,33575.42,57584.66,34550.8,23033.86,Extra,Online,0
PAY00000070,LOAN0003352,2023-08-19,2023-08-07,7836.53,0,0.0,0.0,Missed,Online,0
PAY00000071,LOAN0007658,2023-07-08,2023-06-25,202.86,202.86,121.72,81.14,Late,Check,7
PAY00000072,LOAN0005209,2023-10-04,2023-09-10,2982.02,2982.02,1789.21,1192.81,On-Time,Check,0
PAY00000073,LOAN0003962,2023-05-19,2023-04-28,5561.43,10771.16,6462.7,4308.46,Extra,ACH,0
PAY00000074,LOAN0000549,2024-11-26,2024-10-27,59.18,59.18,35.51,23.67,Late,Online,19
PAY00000075,LOAN0004408,2023-05-28,2023-05-09,4060.2,4060.2,2436.12,1624.08,On-Time,Online,0
PAY00000076,LOAN0001651,2023-06-19,2023-06-03,995.98,995.98,597.59,398.39,On-Time,ACH,0
PAY00000077,LOAN0008566,2023-12-21,2023-12-03,748.22,748.22,448.93,299.29,On-Time,Wire,0
PAY00000078,LOAN0005509,2023-08-28,2023-08-02,325.18,325.18,195.11,130.07,On-Time,Online,0
PAY00000079,LOAN0005168,2024-04-04,2024-03-15,44122.01,76596.04,45957.62,30638.42,Extra,Wire,0
PAY00000080,LOAN0007658,2024-11-14,2024-10-15,202.86,321.04,192.62,128.42,Extra,Auto-Pay,0
PAY00000081,LOAN0005451,2024-03-19,2024-03-05,1157.91,1157.91,694.75,463.16,On-Time,Check,0
PAY00000082,LOAN0009090,2024-08-17,2024-08-14,265.68,265.68,159.41,106.27,On-Time,Check,0
PAY00000083,LOAN0000944,2024-11-04,2024-10-23,335.32,335.32,201.19,134.13,On-Time,Online,0
PAY00000084,LOAN0000497,2024-05-31,2024-06-02,701.63,701.63,420.98,280.65,On-Time,Auto-Pay,0
PAY00000085,LOAN0007762,2023-12-08,2023-11-24,671.93,271.73,163.04,108.69,Partial,Online,0
PAY00000086,LOAN0004280,2023-10-26,2023-10-23,493.9,493.9,296.34,197.56,On-Time,ACH,0
PAY00000087,LOAN0000214,2024-07-05,2024-06-27,43708.03,43708.03,26224.82,17483.21,On-Time,Check,0
PAY00000088,LOAN0004357,2024-04-30,2024-04-14,201.64,201.64,120.98,80.66,Late,Auto-Pay,0
PAY00000089,LOAN0003263,2023-07-29,2023-07-01,21023.57,21023.57,12614.14,8409.43,On-Time,ACH,0
PAY00000090,LOAN0002898,2023-01-17,2022-12-18,1464.25,2360.4,1416.24,944.16,Extra,Online,0
PAY00000091,LOAN0004262,2023-05-11,2023-05-05,828.61,828.61,497.17,331.44,On-Time,Auto-Pay,0
PAY00000092,LOAN0000745,2023-11-07,2023-10-21,144.73,144.73,86.84,57.89,On-Time,Wire,0
PAY00000093,LOAN0007551,2024-04-21,2024-04-17,8925.59,8925.59,5355.35,3570.24,On-Time,Online,0
PAY00000094,LOAN0003679,2023-04-18,2023-04-20,1680.34,1680.34,1008.2,672.14,On-Time,Check,0
PAY00000095,LOAN0006909,2024-05-23,2024-04-23,276.72,276.72,166.03,110.69,On-Time,Online,0
PAY00000096,LOAN0009668,2023-04-22,2023-04-26,1351.53,1351.53,810.92,540.61,Late,Auto-Pay,3
PAY00000097,LOAN0005853,2023-04-27,2023-04-11,314.44,314.44,188.66,125.78,On-Time,Wire,0
PAY00000098,LOAN0004538,2024-12-08,2024-11-26,2535.99,2535.99,1521.59,1014.4,On-Time,Auto-Pay,0
PAY00000099,LOAN0005687,2023-03-11,2023-03-03,1620.6,1620.6,972.36,648.24,On-Time,Auto-Pay,0
PAY00000100,LOAN0007753,2023-10-26,2023-10-09,160.79,160.79,96.47,64.32,On-Time,Auto-Pay,0
PAY00000101,LOAN0005896,2023-05-19,2023-04-25,420.15,420.15,252.09,168.06,On-Time,Online,0
PAY00000102,LOAN0000100,2024-11-19,2024-11-05,656.18,656.18,393.71,262.47,On-Time,Wire,0
PAY00000103,LOAN0000317,2024-02-21,2024-02-18,713.02,713.02,427.81,285.21,Late,Auto-Pay,15
PAY00000104,LOAN0008635,2023-07-04,2023-06-16,562.39,562.39,337.43,224.96,Late,Wire,23
PAY00000105,LOAN0001645,2023-12-24,2023-12-16,1313.44,1313.44,788.06,525.38,On-Time,Check,0
PAY00000106,LOAN0009522,2023-09-07,2023-08-26,165.11,165.11,99.07,66.04,Late,Online,16
PAY00000107,LOAN0006366,2024-09-25,2024-09-08,831.11,831.11,498.67,332.44,On-Time,Auto-Pay,0
PAY00000108,LOAN0001222,2024-12-27,2024-12-04,921.22,921.22,552.73,368.49,On-Time,ACH,0
PAY00000109,LOAN0007307,2024-10-13,2024-09-25,604.02,604.02,362.41,241.61,Late,Online,0
PAY00000110,LOAN0005209,2023-10-30,2023-10-24,2982.02,4842.43,2905.46,1936.97,Extra,Wire,0
PAY00000111,LOAN0005964,2023-07-31,2023-07-07,1077.04,1809.06,1085.44,723.62,Extra,Check,0
PAY00000112,LOAN0006587,2023-04-17,2023-04-08,2228.73,2228.73,1337.24,891.49,On-Time,ACH,0
PAY00000113,LOAN0002884,2023-09-08,2023-08-09,9651.09,4937.34,2962.4,1974.94,Partial,Wire,0
PAY00000114,LOAN0004095,2023-06-02,2023-05-28,1079.05,1079.05,647.43,431.62,On-Time,Auto-Pay,0
PAY00000115,LOAN0004311,2023-03-24,2023-03-25,1543.04,1543.04,925.82,617.22,Late,Auto-Pay,10
PAY00000116,LOAN0002937,2024-08-06,2024-07-28,1166.24,2010.31,1206.19,804.12,Extra,Check,0
PAY00000117,LOAN0007691,2024-01-29,2024-01-09,3459.79,2015.2,1209.12,806.08,Partial,Wire,0
PAY00000118,LOAN0001412,2023-01-25,2023-01-14,237.77,237.77,142.66,95.11,On-Time,Online,0
PAY00000119,LOAN0006494,2024-05-07,2024-04-19,728.79,728.79,437.27,291.52,Late,Wire,17
PAY00000120,LOAN0007966,2023-01-20,2023-01-17,3003.23,3003.23,1801.94,1201.29,On-Time,Online,0
PAY00000121,LOAN0007769,2023-11-21,2023-10-25,148437.61,148437.61,89062.57,59375.04,On-Time,Online,0
PAY00000122,LOAN0009662,2023-04-27,2023-04-08,17996.37,0,0.0,0.0,Missed,Wire,0
PAY00000123,LOAN0007278,2023-05-15,2023-04-25,6663.8,6663.8,3998.28,2665.52,Late,ACH,18
PAY00000124,LOAN0008110,2023-09-27,2023-09-21,700.61,700.61,420.37,280.24,Late,Check,4
PAY00000125,LOAN0004918,2024-03-20,2024-03-16,23277.05,15283.34,9170.0,6113.34,Partial,Wire,0
PAY00000126,LOAN0009606,2023-05-01,2023-04-01,680.24,680.24,408.14,272.1,On-Time,Auto-Pay,0
PAY00000127,LOAN0004695,2024-01-12,2024-01-06,109.5,208.72,125.23,83.49,Extra,Online,0
PAY00000128,LOAN0007601,2024-09-09,2024-08-31,7762.81,10288.17,6172.9,4115.27,Extra,Wire,0
PAY00000129,LOAN0005044,2024-09-12,2024-08-18,26321.82,26321.82,15793.09,10528.73,Late,ACH,0
PAY00000130,LOAN0004668,2024-07-16,2024-07-03,610.73,610.73,366.44,244.29,On-Time,ACH,0
PAY00000131,LOAN0007196,2024-02-07,2024-01-10,5820.71,5820.71,3492.43,2328.28,On-Time,Wire,0
PAY00000132,LOAN0002446,2023-06-25,2023-06-02,42341.59,42341.59,25404.95,16936.64,On-Time,ACH,0
PAY00000133,LOAN0004438,2023-06-30,2023-06-16,212.43,212.43,127.46,84.97,On-Time,Online,0
PAY00000134,LOAN0003089,2024-03-03,2024-03-07,155.69,155.69,93.41,62.28,On-Time,Auto-Pay,0
PAY00000135,LOAN0002879,2024-11-19,2024-11-03,276.84,276.84,166.1,110.74,Late,Online,0
PAY00000136,LOAN0009759,2024-08-11,2024-07-26,884.15,884.15,530.49,353.66,On-Time,Check,0
PAY00000137,LOAN0008800,2023-09-23,2023-09-22,833.61,833.61,500.17,333.44,Late,ACH,26
PAY00000138,LOAN0002166,2024-05-10,2024-05-10,791.9,791.9,475.14,316.76,On-Time,Wire,0
PAY00000139,LOAN0000101,2024-03-17,2024-02-28,910.31,508.38,305.03,203.35,Partial,Online,0
PAY00000140,LOAN0007689,2023-09-09,2023-08-27,2770.87,2770.87,1662.52,1108.35,Late,ACH,27
PAY00000141,LOAN0004785,2023-05-29,2023-05-24,5528.57,5528.57,3317.14,2211.43,Late,Check,9
PAY00000142,LOAN0003225,2023-05-26,2023-04-26,18411.86,18411.86,11047.12,7364.74,On-Time,Auto-Pay,0
PAY00000143,LOAN0000470,2023-12-17,2023-12-18,3302.96,3302.96,1981.78,1321.18,On-Time,Auto-Pay,0
PAY00000144,LOAN0008045,2024-03-26,2024-03-24,2290.09,2290.09,1374.05,916.04,On-Time,Wire,0
PAY00000145,LOAN0001047,2024-11-25,2024-11-12,79790.8,79790.8,47874.48,31916.32,On-Time,Wire,0
PAY00000146,LOAN0007467,2023-10-01,2023-09-03,426.68,672.59,403.55,269.04,Extra,Online,0
PAY00000147,LOAN0003262,2024-12-28,2024-12-10,1677.11,1677.11,1006.27,670.84,On-Time,Online,0
PAY00000148,LOAN0006974,2023-08-13,2023-08-16,934.33,934.33,560.6,373.73,On-Time,Online,0
PAY00000149,LOAN0003953,2023-02-15,2023-01-21,7884.68,7884.68,4730.81,3153.87,Late,Auto-Pay,0
PAY00000150,LOAN0001887,2024-07-27,2024-07-18,1660.41,1660.41,996.25,664.16,Late,ACH,26
PAY00000151,LOAN0002533,2024-09-17,2024-08-31,492.11,492.11,295.27,196.84,Late,ACH,20
PAY00000152,LOAN0007610,2024-02-21,2024-01-28,3042.74,3042.74,1825.64,1217.1,Late,ACH,12
PAY00000153,LOAN0004624,2024-04-27,2024-04-16,3437.08,1991.82,1195.09,796.73,Partial,ACH,0
PAY00000154,LOAN0009871,2023-07-17,2023-06-22,871.36,871.36,522.82,348.54,On-Time,Wire,0
PAY00000155,LOAN0002951,2023-03-06,2023-02-19,672.55,672.55,403.53,269.02,Late,Auto-Pay,23
PAY00000156,LOAN0007109,2024-09-28,2024-09-26,672.75,672.75,403.65,269.1,Late,Check,8
PAY00000157,LOAN0001269,2024-02-20,2024-02-17,15117.79,15117.79,9070.67,6047.12,On-Time,ACH,0
PAY00000158,LOAN0000361,2023-03-09,2023-03-05,513.3,513.3,307.98,205.32,Late,Online,11
PAY00000159,LOAN0007325,2023-11-24,2023-11-09,3803.11,3803.11,2281.87,1521.24,On-Time,Wire,0
PAY00000160,LOAN0008246,2024-04-05,2024-03-23,159.99,159.99,95.99,64.0,On-Time,Online,0
PAY00000161,LOAN0002395,2023-03-15,2023-03-07,1553.48,1553.48,932.09,621.39,On-Time,ACH,0
PAY00000162,LOAN0003816,2023-04-29,2023-04-24,2224.62,2224.62,1334.77,889.85,Late,Online,3
PAY00000163,LOAN0009243,2023-07-25,2023-07-26,95123.42,95123.42,57074.05,38049.37,On-Time,Auto-Pay,0
PAY00000164,LOAN0005597,2024-11-22,2024-10-30,523.81,523.81,314.29,209.52,On-Time,Online,0
PAY00000165,LOAN0000102,2023-11-20,2023-10-28,842.86,842.86,505.72,337.14,On-Time,ACH,0
PAY00000166,LOAN0002951,2023-11-06,2023-11-05,672.55,672.55,403.53,269.02,On-Time,ACH,0
PAY00000167,LOAN0009057,2023-03-13,2023-03-12,6739.8,6739.8,4043.88,2695.92,On-Time,Online,0
PAY00000168,LOAN0004402,2023-03-19,2023-02-27,1015.2,1015.2,609.12,406.08,On-Time,Auto-Pay,0
PAY00000169,LOAN0002884,2024-05-25,2024-05-19,9651.09,17358.92,10415.35,6943.57,Extra,Auto-Pay,0
PAY00000170,LOAN0003428,2024-10-02,2024-09-25,450.74,0,0.0,0.0,Missed,Check,0
PAY00000171,LOAN0006967,2024-02-05,2024-01-20,42608.17,42608.17,25564.9,17043.27,On-Time,Auto-Pay,0
PAY00000172,LOAN0006109,2024-12-16,2024-12-19,13007.49,13007.49,7804.49,5203.0,On-Time,Wire,0
PAY00000173,LOAN0001616,2024-04-03,2024-03-10,4114.57,4114.57,2468.74,1645.83,On-Time,Check,0
PAY00000174,LOAN0006481,2024-07-05,2024-07-03,635.21,635.21,381.13,254.08,Late,Online,1
PAY00000175,LOAN0006956,2024-11-10,2024-10-29,1383.44,1383.44,830.06,553.38,On-Time,Online,0
PAY00000176,LOAN0004713,2024-08-12,2024-08-02,744.24,744.24,446.54,297.7,On-Time,Auto-Pay,0
PAY00000177,LOAN0002425,2023-02-04,2023-01-16,1024.91,1024.91,614.95,409.96,On-Time,Wire,0
PAY00000178,LOAN0005017,2024-06-21,2024-06-21,218.06,218.06,130.84,87.22,On-Time,Wire,0
PAY00000179,LOAN0004601,2023-11-11,2023-11-14,4086.36,5910.56,3546.34,2364.22,Extra,Online,0
PAY00000180,LOAN0008957,2024-10-07,2024-09-15,1437.93,1437.93,862.76,575.17,On-Time,ACH,0
PAY00000181,LOAN0005650,2024-10-08,2024-10-10,1326.68,1326.68,796.01,530.67,On-Time,ACH,0
PAY00000182,LOAN0003723,2024-12-24,2024-12-26,18718.44,18718.44,11231.06,7487.38,On-Time,Online,0
PAY00000183,LOAN0004763,2024-05-17,2024-05-03,1601.2,1601.2,960.72,640.48,On-Time,Auto-Pay,0
PAY00000184,LOAN0002870,2024-02-25,2024-01-31,43.6,43.6,26.16,17.44,Late,Auto-Pay,9
PAY00000185,LOAN0003048,2024-08-22,2024-08-19,655.49,655.49,393.29,262.2,On-Time,Check,0
PAY00000186,LOAN0002606,2024-01-04,2024-01-02,375.43,375.43,225.26,150.17,On-Time,Auto-Pay,0
PAY00000187,LOAN0000923,2023-02-09,2023-01-13,490.09,303.37,182.02,121.35,Partial,Online,0
PAY00000188,LOAN0000977,2024-06-30,2024-06-30,427.47,427.47,256.48,170.99,On-Time,Wire,0
PAY00000189,LOAN0006604,2024-08-30,2024-08-24,1417.19,1417.19,850.31,566.88,On-Time,ACH,0
PAY00000190,LOAN0000100,2023-11-05,2023-10-16,656.18,656.18,393.71,262.47,On-Time,Auto-Pay,0
PAY00000191,LOAN0008527,2023-07-02,2023-06-14,1580.73,1580.73,948.44,632.29,On-Time,Online,0
PAY00000192,LOAN0004964,2024-06-26,2024-06-14,1978.94,1978.94,1187.36,791.58,On-Time,Wire,0
PAY00000193,LOAN0000387,2024-11-29,2024-11-20,2414.38,2414.38,1448.63,965.75,On-Time,Auto-Pay,0
PAY00000194,LOAN0001178,2023-01-11,2023-01-13,601.14,601.14,360.68,240.46,On-Time,Check,0
PAY00000195,LOAN0002792,2024-09-16,2024-09-21,9128.63,9128.63,5477.18,3651.45,On-Time,Auto-Pay,0
PAY00000196,LOAN0008101,2024-01-05,2023-12-10,359.04,359.04,215.42,143.62,On-Time,ACH,0
PAY00000197,LOAN0001611,2023-07-15,2023-06-19,501.48,501.48,300.89,200.59,Late,ACH,27
PAY00000198,LOAN0001002,2023-01-15,2022-12-30,1795.55,1795.55,1077.33,718.22,On-Time,Wire,0
PAY00000199,LOAN0009448,2023-01-19,2023-01-01,59722.0,59722.0,35833.2,23888.8,On-Time,Check,0
PAY00000200,LOAN0004169,2024-11-05,2024-10-18,730.5,730.5,438.3,292.2,On-Time,ACH,0
PAY00000201,LOAN0006013,2023-02-25,2023-02-12,1052.33,0,0.0,0.0,Missed,ACH,0
PAY00000202,LOAN0009252,2023-05-22,2023-04-25,337.02,337.02,202.21,134.81,On-Time,Auto-Pay,0
PAY00000203,LOAN0007931,2024-07-26,2024-06-26,1216.63,1216.63,729.98,486.65,On-Time,Auto-Pay,0
PAY00000204,LOAN0007345,2023-11-25,2023-11-18,16636.35,16636.35,9981.81,6654.54,On-Time,Wire,0
PAY00000205,LOAN0004716,2023-03-15,2023-03-12,3178.21,3178.21,1906.93,1271.28,Late,Wire,2
PAY00000206,LOAN0007360,2023-12-23,2023-11-24,732.81,1012.83,607.7,405.13,Extra,Online,0
PAY00000207,LOAN0008230,2024-04-20,2024-04-20,573.01,573.01,343.81,229.2,On-Time,ACH,0
PAY00000208,LOAN0004262,2024-04-10,2024-03-27,828.61,0,0.0,0.0,Missed,Online,0
PAY00000209,LOAN0009549,2024-05-18,2024-05-09,16051.44,16051.44,9630.86,6420.58,On-Time,ACH,0
PAY00000210,LOAN0002823,2023-10-04,2023-09-20,767.94,767.94,460.76,307.18,On-Time,ACH,0
PAY00000211,LOAN0005996,2023-08-30,2023-08-02,27439.66,27439.66,16463.8,10975.86,Late,ACH,27
PAY00000212,LOAN0004428,2024-03-23,2024-03-07,203.89,203.89,122.33,81.56,On-Time,Wire,0
PAY00000213,LOAN0005424,2024-06-05,2024-05-22,1182.52,1182.52,709.51,473.01,On-Time,Online,0
PAY00000214,LOAN0004763,2024-07-01,2024-06-23,1601.2,1601.2,960.72,640.48,On-Time,Online,0
PAY00000215,LOAN0005965,2023-09-04,2023-08-23,198.68,198.68,119.21,79.47,On-Time,Auto-Pay,0
PAY00000216,LOAN0003102,2024-05-07,2024-04-20,1066.52,1066.52,639.91,426.61,On-Time,Auto-Pay,0
PAY00000217,LOAN0000638,2024-10-26,2024-10-01,2744.72,2744.72,1646.83,1097.89,On-Time,Wire,0
PAY00000218,LOAN0001255,2023-01-14,2022-12-23,1015.95,1015.95,609.57,406.38,On-Time,Check,0
PAY00000219,LOAN0006874,2024-07-11,2024-06-13,5584.44,5584.44,3350.66,2233.78,On-Time,Online,0
PAY00000220,LOAN0008326,2024-04-30,2024-04-18,416.05,183.4,110.04,73.36,Partial,Online,0
PAY00000221,LOAN0004473,2024-05-12,2024-05-05,946.57,946.57,567.94,378.63,Late,ACH,23
PAY00000222,LOAN0009644,2024-06-14,2024-05-27,1208.6,1208.6,725.16,483.44,On-Time,Auto-Pay,0
PAY00000223,LOAN0004467,2023-11-02,2023-10-28,26150.47,26150.47,15690.28,10460.19,On-Time,Auto-Pay,0
PAY00000224,LOAN0007970,2024-12-26,2024-12-02,1396.33,1396.33,837.8,558.53,On-Time,Online,0
PAY00000225,LOAN0005631,2023-04-14,2023-03-16,2413.56,2413.56,1448.14,965.42,On-Time,Auto-Pay,0
PAY00000226,LOAN0008654,2023-03-29,2023-03-18,2583.68,2583.68,1550.21,1033.47,On-Time,Auto-Pay,0
PAY00000227,LOAN0000218,2023-06-20,2023-06-14,1602.42,1602.42,961.45,640.97,On-Time,Wire,0
PAY00000228,LOAN0007475,2023-06-24,2023-06-21,903.09,903.09,541.85,361.24,Late,Auto-Pay,26
PAY00000229,LOAN0005110,2023-07-05,2023-06-27,29788.95,29788.95,17873.37,11915.58,On-Time,ACH,0
PAY00000230,LOAN0007147,2024-11-20,2024-11-23,774.53,0,0.0,0.0,Missed,Check,0
PAY00000231,LOAN0003561,2023-04-02,2023-03-31,791.63,791.63,474.98,316.65,On-Time,Online,0
PAY00000232,LOAN0006813,2023-11-28,2023-11-01,15775.95,15775.95,9465.57,6310.38,On-Time,Check,0
PAY00000233,LOAN0007464,2023-02-01,2023-01-02,103.8,103.8,62.28,41.52,On-Time,Online,0
PAY00000234,LOAN0006772,2024-10-26,2024-10-25,2368.35,2368.35,1421.01,947.34,On-Time,ACH,0
PAY00000235,LOAN0008702,2024-12-03,2024-11-11,496.36,496.36,297.82,198.54,On-Time,Wire,0
PAY00000236,LOAN0004937,2024-11-14,2024-11-05,91.27,73.68,44.21,29.47,Partial,Auto-Pay,0
PAY00000237,LOAN0007235,2024-07-23,2024-06-27,790.59,790.59,474.35,316.24,On-Time,Wire,0
PAY00000238,LOAN0007034,2024-01-08,2023-12-20,955.2,955.2,573.12,382.08,Late,Check,9
PAY00000239,LOAN0003098,2024-02-23,2024-02-21,23254.31,23254.31,13952.59,9301.72,On-Time,Online,0
PAY00000240,LOAN0001950,2023-04-13,2023-04-03,162.47,162.47,97.48,64.99,On-Time,ACH,0
