application_id,customer_id,loan_id,loan_amount,interest_rate,loan_term_months,application_date,approval_date,status,credit_score,annual_income,employment_status,employer_name,years_employed,debt_to_income,loan_purpose,property_type,property_value,down_payment,loan_officer_id,branch_code
APP000032,CUST10032,LOAN0000032,445000.00,6.125,360,2023-05-25,2023-06-10,Approved,762,162000.00,Employed,Media Company,5.4,0.30,Home Purchase,Townhouse,540000.00,95000.00,LO101,BR003
APP000033,CUST10033,LOAN0000033,295000.00,6.75,360,2023-05-28,2023-06-12,Approved,718,105000.00,Employed,Accounting Firm,4.0,0.36,Home Purchase,Condo,350000.00,55000.00,LO105,BR001
APP000034,CUST10034,LOAN0000034,650000.00,5.625,360,2023-06-01,2023-06-16,Approved,808,232000.00,Employed,Investment Group,10.8,0.25,Home Purchase,Single Family,795000.00,145000.00,LO102,BR002
APP000035,CUST10035,LOAN0000035,188000.00,7.25,240,2023-06-05,,Denied,628,68000.00,Self-Employed,Catering Business,1.8,0.46,Refinance,Townhouse,225000.00,37000.00,LO103,BR003
APP000036,CUST10036,LOAN0000036,510000.00,5.99,360,2023-06-08,2023-06-22,Approved,782,185000.00,Employed,Research Institute,8.2,0.28,Home Purchase,Single Family,625000.00,115000.00,LO104,BR001
APP000037,CUST10037,LOAN0000037,260000.00,6.625,300,2023-06-12,2023-06-28,Approved,725,95000.00,Employed,HR Consulting,3.7,0.34,Home Purchase,Condo,310000.00,50000.00,LO101,BR002
APP000038,CUST10038,LOAN0000038,375000.00,6.375,360,2023-06-15,2023-07-01,Approved,748,132000.00,Employed,Engineering Corp,6.5,0.32,Home Purchase,Townhouse,455000.00,80000.00,LO105,BR003
APP000039,CUST10039,LOAN0000039,105000.00,8.00,120,2023-06-18,,Denied,592,48000.00,Employed,Fast Food Chain,0.9,0.50,Home Improvement,Condo,130000.00,25000.00,LO102,BR001
APP000040,CUST10040,LOAN0000040,590000.00,5.75,360,2023-06-22,2023-07-08,Approved,795,208000.00,Employed,Financial Services,9.6,0.26,Home Purchase,Single Family,725000.00,135000.00,LO103,BR002
APP000041,CUST10041,LOAN0000041,225000.00,7.00,240,2023-06-25,,Pending,662,82000.00,Employed,Retail Management,2.6,0.39,Refinance,Condo,270000.00,45000.00,LO104,BR003
APP000042,CUST10042,LOAN0000042,485000.00,6.00,360,2023-06-28,2023-07-14,Approved,775,175000.00,Employed,Automotive Inc,7.8,0.29,Home Purchase,Townhouse,595000.00,110000.00,LO101,BR001
APP000043,CUST10043,LOAN0000043,330000.00,6.50,360,2023-07-02,2023-07-18,Approved,732,118000.00,Employed,Travel Agency,4.4,0.34,Home Purchase,Single Family,395000.00,65000.00,LO105,BR002
APP000044,CUST10044,LOAN0000044,755000.00,5.50,360,2023-07-05,2023-07-20,Approved,818,265000.00,Employed,Private Equity,12.3,0.24,Home Purchase,Multi-Family,920000.00,165000.00,LO102,BR003
APP000045,CUST10045,LOAN0000045,155000.00,7.625,180,2023-07-08,,Withdrawn,658,60000.00,Self-Employed,Landscaping LLC,2.2,0.42,Cash Out,Condo,190000.00,35000.00,LO103,BR001
APP000046,CUST10046,LOAN0000046,410000.00,6.25,360,2023-07-12,2023-07-28,Approved,758,145000.00,Employed,Broadcasting Co,5.9,0.31,Home Purchase,Single Family,500000.00,90000.00,LO104,BR002
APP000047,CUST10047,LOAN0000047,280000.00,6.75,360,2023-07-15,2023-07-30,Approved,715,98000.00,Employed,Publishing House,3.5,0.37,Home Purchase,Condo,335000.00,55000.00,LO101,BR003
APP000048,CUST10048,LOAN0000048,545000.00,5.875,360,2023-07-18,2023-08-02,Approved,785,192000.00,Employed,Chemical Corp,8.7,0.27,Home Purchase,Townhouse,670000.00,125000.00,LO105,BR001
APP000049,CUST10049,LOAN0000049,200000.00,7.125,240,2023-07-22,,Denied,608,72000.00,Part-Time,Delivery Services,1.4,0.47,Refinance,Condo,240000.00,40000.00,LO102,BR002
APP000050,CUST10050,LOAN0000050,625000.00,5.625,360,2023-07-25,2023-08-10,Approved,802,218000.00,Employed,Management Consulting,10.1,0.26,Home Purchase,Single Family,765000.00,140000.00,LO103,BR003
